id,authors,title,average_rating
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,3.73
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,4.28
81,Jeannette Walls,The Glass Castle,4.24
82,Jon Krakauer,Into the Wild,3.94
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",3.96
85,Shel Silverstein,The Giving Tree,4.38
86,John Grisham,A Time to Kill,4.03
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),4.3
88,John Green,Paper Towns,3.88
89,William Goldman,The Princess Bride ,4.25
90,S.E. Hinton,The Outsiders,4.06
91,James Dashner,"The Maze Runner (Maze Runner, #1)",4.02
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93
93,Frances Hodgson Burnett,The Secret Garden,4.12
94,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,4.04
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",3.88
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,3.98
98,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.22
99,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",3.87
100,Barbara Kingsolver,The Poisonwood Bible,4.02
101,David Sedaris,Me Talk Pretty One Day,3.97
102,Maurice Sendak,Where the Wild Things Are,4.22
103,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,4.21
104,Cormac McCarthy,The Road,3.95
105,Veronica Roth,"Allegiant (Divergent, #3)",3.63
106,Tina Fey,Bossypants,3.94
107,Nicholas Sparks,A Walk to Remember,4.15
108,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",3.61
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,4.14
110,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4
111,Kim Edwards,The Memory Keeper's Daughter,3.64
112,Jojo Moyes,"Me Before You (Me Before You, #1)",4.27
113,Joseph Heller,Catch-22,3.98
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06
115,Jeffrey Eugenides,Middlesex,3.98
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,3.89
117,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04
118,Amy Tan,The Joy Luck Club,3.9
119,Margaret Atwood,The Handmaid's Tale,4.06
120,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75
121,"Vladimir Nabokov, Craig Raine",Lolita,3.88
122,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52
123,John Grisham,"The Firm (Penguin Readers, Level 5)",3.99
124,Emma Donoghue,Room,4.03
125,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,4
126,Frank Herbert,Dune (Dune Chronicles #1),4.19
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92
128,Walter Isaacson,Steve Jobs,4.09
129,Ken Kesey,One Flew Over the Cuckoo's Nest,4.18
130,Ernest Hemingway,The Old Man and the Sea,3.73
131,John Steinbeck,The Grapes of Wrath,3.92
132,Mitch Albom,The Five People You Meet in Heaven,3.9
133,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.23
134,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.34
135,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.79
137,Diana Gabaldon,"Outlander (Outlander, #1)",4.2
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,3.37
139,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89
140,"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2
141,Andy Weir,The Martian,4.39
142,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29
143,Anthony Doerr,All the Light We Cannot See,4.31
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4
145,Dan Brown,Deception Point,3.67
146,Donna Tartt,The Goldfinch,3.87
147,Jay Asher,Thirteen Reasons Why,4.02
148,Tracy Chevalier,Girl with a Pearl Earring,3.85
149,Gayle Forman,"If I Stay (If I Stay, #1)",3.96
150,Anita Diamant,The Red Tent,4.16
151,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23
152,Nicholas Sparks,Dear John,4.01
153,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",4.21
154,William Shakespeare,Macbeth,3.88
155,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",4.42
156,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",3.83
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham,4.29
158,"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1
159,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39
160,Charles Dickens,Great Expectations,3.75
161,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",4.51
162,"Albert Camus, Matthew    Ward",The Stranger,3.96
163,Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",4.35
164,Rainbow Rowell,Eleanor & Park,4.11
165,George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1
166,Ally Condie,"Matched (Matched, #1)",3.68
167,Neil Gaiman,"American Gods (American Gods, #1)",4.11
168,"Stephen King, Bernie Wrightson",The Stand,4.34
169,Nicholas Sparks,The Last Song,4.14
170,Dan Brown,Digital Fortress,3.6
171,"Jane Austen, Fiona Stafford",Emma,3.99
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Anna Karenina,4.02
173,Anthony Burgess,A Clockwork Orange,3.98
174,William Paul Young,The Shack,3.74
175,Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5
176,Stephen King,It,4.18
177,"Fyodor Dostoyevsky, David McDuff",Crime and Punishment,4.18
178,Sylvia Plath,The Bell Jar,3.98
179,Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",4.07
180,"Hermann Hesse, Hilda Rosner",Siddhartha,3.99
181,Truman Capote,In Cold Blood,4.05
182,"Kami Garcia, Margaret Stohl","Beautiful Creatures (Caster Chronicles, #1)",3.76
183,Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",4.33
184,"Roald Dahl, Quentin Blake",Matilda,4.29
185,Erin Morgenstern,The Night Circus,4.03
186,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04
187,Scott Westerfeld,"Uglies (Uglies, #1)",3.86
188,George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31
189,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,3.96
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,4.35
192,Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55
193,Malcolm Gladwell,Outliers: The Story of Success,4.11
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby-Dick or, The Whale",3.46
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,4.12
196,Chuck Palahniuk,Fight Club,4.2
197,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",3.96
198,Alice Walker,The Color Purple,4.17
199,John Grogan,Marley and Me: Life and Love With the World's Worst Dog,4.12
200,Agatha Christie,And Then There Were None,4.23
201,Dan Brown,"The Lost Symbol (Robert Langdon, #3)",3.66
202,Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)",4
203,Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",4.15
204,Charles Dickens,A Christmas Carol,4.02
205,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97
206,Kiera Cass,"The Selection (The Selection, #1)",4.15
207,Janet Evanovich,"One for the Money (Stephanie Plum, #1)",4.03
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,4.04
209,Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14
210,Richelle Mead,"Vampire Academy (Vampire Academy, #1)",4.14
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,3.89
212,Ian McEwan,Atonement,3.88
213,"Franz Kafka, Stanley Corngold",The Metamorphosis,3.78
214,Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33
215,Ernest Cline,Ready Player One,4.31
216,Garth Stein,The Art of Racing in the Rain,4.19
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98
218,Sylvia Day,"Bared to You (Crossfire, #1)",4.19
219,"C.S. Lewis, Pauline Baynes","The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,4.23
221,Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",4.08
222,Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",3.98
223,Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",3.82
224,Lauren Kate,"Fallen (Fallen, #1)",3.74
225,John Steinbeck,East of Eden,4.35
226,Gillian Flynn,Dark Places,3.92
227,John Grisham,The Client,3.97
228,"Emma McLaughlin, Nicola Kraus","The Nanny Diaries (Nanny, #1)",3.4
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland & Through the Looking-Glass,4.06
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,4.13
231,Tatiana de Rosnay,Sarah's Key,4.14
232,Stephen King,"The Gunslinger (The Dark Tower, #1)",3.99
233,"Gabriel García Márquez, Edith Grossman",Love in the Time of Cholera,3.89
234,Laurie Halse Anderson,Speak,4
235,Liane Moriarty,The Husband's Secret,3.92
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11
237,Stephen King,Carrie,3.93
238,Augusten Burroughs,Running with Scissors,3.7
239,Max Brooks,World War Z: An Oral History of the Zombie War,4.01
240,Dan Brown,"Inferno (Robert Langdon, #4)",3.8
241,Lois Lowry,Number the Stars,4.11
242,James Patterson,"Along Came a Spider (Alex Cross, #1)",4.08
243,Stephen King,Misery,4.11
244,Gillian Flynn,Sharp Objects,3.92
245,Katherine Paterson,Bridge to Terabithia,3.98
246,"P.C. Cast, Kristin Cast","Marked (House of Night, #1)",3.79
247,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,3.94
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close,3.97
250,R.J. Palacio,Wonder,4.43
251,Dr. Seuss,The Cat in the Hat,4.15
252,Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",4.15
253,"Robert Galbraith, J.K. Rowling","The Cuckoo's Calling (Cormoran Strike, #1)",3.83
254,Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",3.78
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,3.68
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64
257,"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,4.03
258,"Carlos Ruiz Zafón, Lucia Graves","The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.24
259,James Dashner,"The Scorch Trials (Maze Runner, #2)",3.93
260,Dale Carnegie,How to Win Friends and Influence People,4.13
261,Frances Mayes,Under the Tuscan Sun,3.72
262,Liane Moriarty,Big Little Lies,4.2
263,Gail Carson Levine,Ella Enchanted,3.97
264,Ernest Hemingway,The Sun Also Rises,3.83
265,Betty  Smith,A Tree Grows in Brooklyn,4.24
266,James Patterson,"Kiss the Girls (Alex Cross, #2)",3.93
267,Kristin Hannah,The Nightingale,4.54
268,Kazuo Ishiguro,Never Let Me Go,3.8
269,Cecelia Ahern,P.S. I Love You,4.01
270,"Daphne du Maurier, Sally Beauman",Rebecca,4.2
271,Daniel Keyes,Flowers for Algernon,4.07
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Like Water for Chocolate,3.94
273,Lisa See,Snow Flower and the Secret Fan,4.05
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,4.36
275,John Green,An Abundance of Katherines,3.63
276,Isaac Asimov,Foundation (Foundation #1),4.13
277,Neil Gaiman,The Ocean at the End of the Lane,3.99
278,Shel Silverstein,A Light in the Attic,4.34
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",3.75
280,Lauren Oliver,"Delirium (Delirium, #1)",3.99
281,John Grisham,The Pelican Brief,3.95
282,Neil Gaiman,Coraline,4.03
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25
284,Jack Kerouac,On the Road,3.64
285,Graeme Simsion,"The Rosie Project (Don Tillman, #1)",4.01
286,Nicholas Sparks,The Lucky One,4.1
287,"Ayn Rand, Leonard Peikoff",The Fountainhead,3.85
288,Tom Clancy,"The Hunt for Red October (Jack Ryan Universe, #4)",4.01
289,Richard Adams,"Watership Down (Watership Down, #1)",4.05
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84
291,Abraham Verghese,Cutting for Stone,4.28
292,"C.S. Lewis, Pauline Baynes","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.08
293,Robert Louis Stevenson,Treasure Island,3.82
294,Rick Riordan,"The Son of Neptune (The Heroes of Olympus, #2)",4.44
295,Stephen King,11/22/63,4.29
296,Eric Carle,The Very Hungry Caterpillar Board Book,4.29
297,Kurt Vonnegut Jr.,Cat's Cradle,4.18
298,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,3.87
299,"Todd Burpo, Lynn Vincent",Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.01
300,John Boyne,The Boy in the Striped Pajamas,4.1
301,Joseph Conrad,Heart of Darkness,3.42
302,Nicholas Sparks,Safe Haven,4.19
303,Rhonda Byrne,"The Secret (The Secret, #1)",3.62
304,Wally Lamb,I Know This Much Is True,4.17
305,Stephen King,Pet Sematary,3.91
306,Wally Lamb,She's Come Undone,3.84
307,Patrick Rothfuss,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",4.57
308,Sophie Kinsella,Can You Keep a Secret?,3.83
309,Cassandra Clare,"City of Fallen Angels (The Mortal Instruments, #4)",4.16
310,Jennifer Weiner,"Good in Bed (Cannie Shapiro, #1)",3.7
311,Colleen McCullough,The Thorn Birds,4.22
312,"Neil Gaiman, Dave McKean",The Graveyard Book,4.12
313,M.L. Stedman,The Light Between Oceans,4
314,"Cornelia Funke, Anthea Bell","Inkheart (Inkworld, #1)",3.86
315,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,3.74
316,Bill Bryson,A Walk in the Woods,4.05
317,Maya Angelou,I Know Why the Caged Bird Sings,4.19
318,Christina Baker Kline,Orphan Train,4.14
319,Cassandra Clare,"City of Lost Souls (The Mortal Instruments, #5)",4.3
320,Maria Semple,"Where'd You Go, Bernadette",3.9
321,Wilson Rawls,Where the Red Fern Grows,4.04
322,Neil Gaiman,Neverwhere,4.18
323,"Milan Kundera, Michael Henry Heim",The Unbearable Lightness of Being,4.08
324,Rainbow Rowell,Fangirl,4.12
325,John Irving,A Prayer for Owen Meany,4.22
326,Janet Fitch,White Oleander,3.93
327,Marie Lu,"Legend (Legend, #1)",4.19
328,Jodi Picoult,Nineteen Minutes,4.1
329,"Randy Pausch, Jeffrey Zaslow",The Last Lecture,4.25
330,Robert Jordan,"The Eye of the World (Wheel of Time, #1)",4.18
331,Jodi Picoult,The Pact,4
332,C.S. Lewis,"The Magician's Nephew (Chronicles of Narnia, #6)",4.01
333,Lisa Genova,Still Alice,4.3
334,Sylvia Day,"Reflected in You (Crossfire, #2)",4.33
335,"Roald Dahl, Quentin Blake",James and the Giant Peach,3.99
336,James Patterson,"1st to Die (Women's Murder Club, #1)",4.05
337,Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,4.37
338,David Nicholls,One Day,3.77
339,"Margaret Wise Brown, Clement Hurd",Goodnight Moon,4.27
340,Pittacus Lore,"I Am Number Four (Lorien Legacies, #1)",3.94
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",The Iliad,3.83
342,J.K. Rowling,The Casual Vacancy,3.28
343,John Grisham,The Runaway Jury,3.96
344,David Sedaris,Naked,4.08
345,Christopher Paolini,"Eldest (The Inheritance Cycle, #2)",3.96
346,"L. Frank Baum, W.W. Denslow","The Wonderful Wizard of Oz (Oz, #1)",3.98
347,C.S. Lewis,"Prince Caspian (Chronicles of Narnia, #2)",3.96
348,E. Lockhart,We Were Liars,3.85
349,Stephen King,'Salem's Lot,3.99
350,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas,4.08
351,Cassandra Clare,"Clockwork Prince (The Infernal Devices, #2)",4.46
352,Amy Poehler,Yes Please,3.81
353,William Shakespeare,Othello,3.88
354,Toni Morrison,Beloved,3.77
355,Kristin Cashore,"Graceling (Graceling Realm, #1)",4.1
356,"Lemony Snicket, Brett Helquist","The Bad Beginning (A Series of Unfortunate Events, #1)",3.89
357,"Erich Maria Remarque, A.W. Wheen",All Quiet on the Western Front,3.92
358,Dr. Seuss,"Oh, The Places You'll Go!",4.34
359,Khaled Hosseini,And the Mountains Echoed,4.03
360,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,4.08
361,"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist,3.85
362,C.S. Lewis,The Screwtape Letters,4.21
363,Stephanie Perkins,"Anna and the French Kiss (Anna and the French Kiss, #1)",4.08
364,Dr. Seuss,How the Grinch Stole Christmas!,4.36
365,"Alan Moore, David   Lloyd",V for Vendetta,4.25
366,David McCullough,John Adams,4.05
367,Dean Koontz,"Odd Thomas (Odd Thomas, #1)",3.94
368,Philip Pullman,"The Subtle Knife (His Dark Materials, #2)",4.1
369,Jerry Spinelli,"Stargirl (Stargirl, #1)",3.74
370,Rick Riordan,"The Red Pyramid (Kane Chronicles, #1)",4.06
371,Robert A. Heinlein,Stranger in a Strange Land,3.91
372,David Sedaris,Dress Your Family in Corduroy and Denim,4.08
373,"Roald Dahl, Quentin Blake",The BFG,4.22
374,Bill Bryson,A Short History of Nearly Everything,4.19
375,Jack London,The Call of the Wild,3.83
376,James Dashner,"The Death Cure (Maze Runner, #3)",3.77
377,Neil Gaiman,Stardust,4.07
378,Jhumpa Lahiri,The Namesake,3.96
379,Deborah Harkness,"A Discovery of Witches (All Souls Trilogy, #1)",3.99
380,"Haruki Murakami, Jay Rubin",Norwegian Wood,4.02
381,Billie Letts,Where the Heart Is,4
382,"John Green, David Levithan","Will Grayson, Will Grayson",3.84
383,James Frey,A Million Little Pieces,3.62
384,Richelle Mead,"Frostbite (Vampire Academy, #2)",4.3
385,Susan Cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,4.04
386,Scott O'Dell,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",3.8
387,"Arthur Miller, Christopher Bigsby",The Crucible,3.55
388,Gary Paulsen,"Hatchet (Brian's Saga, #1)",3.68
389,Brandon Sanderson,"The Final Empire (Mistborn, #1)",4.43
390,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr. Jekyll and Mr. Hyde,3.79
391,Dr. Seuss,The Lorax,4.35
392,Jeff Kinney,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",3.96
393,Sarah J. Maas,"Throne of Glass (Throne of Glass, #1)",4.24
394,Richelle Mead,"Shadow Kiss (Vampire Academy, #3)",4.37
395,Ernest Hemingway,For Whom the Bell Tolls,3.95
396,Jamie Ford,Hotel on the Corner of Bitter and Sweet,3.98
397,"Patrick Süskind, John E. Woods",Perfume: The Story of a Murderer,4
398,Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal,3.73
399,J.K. Rowling,The Tales of Beedle the Bard,4.06
400,William Gibson,Neuromancer,3.88
401,Ernest Hemingway,A Farewell to Arms,3.79
402,Edgar Allan Poe,The Tell-Tale Heart and Other Writings,4.15
403,"Sun Tzu, Thomas Cleary",The Art of War,3.95
404,William Landay,Defending Jacob,3.97
405,Kurt Vonnegut Jr.,Breakfast of Champions,4.08
406,Betty Edwards,The New Drawing on the Right Side of the Brain,3.84
407,Ann Patchett,Bel Canto,3.92
408,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",4
409,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,4.26
410,Chinua Achebe,"Things Fall Apart (The African Trilogy, #1)",3.61
411,Sophie Kinsella,The Undomestic Goddess,3.82
412,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.23
413,Alexandre Dumas,The Three Musketeers,4.06
414,Chris Cleave,Little Bee,3.7
415,Alyson Noel,"Evermore (The Immortals, #1)",3.59
416,"Roald Dahl, Quentin Blake",The Witches,4.17
417,Diane Setterfield,The Thirteenth Tale,3.95
418,Richelle Mead,"Spirit Bound (Vampire Academy, #5)",4.37
419,Richelle Mead,"Blood Promise (Vampire Academy, #4)",4.35
420,Nicholas Sparks,Message in a Bottle,3.95
421,Paula McLain,The Paris Wife,3.79
422,J.K. Rowling,"Harry Potter Boxset (Harry Potter, #1-7)",4.74
423,Kiera Cass,"The Elite (The Selection, #2)",4.02
424,"Umberto Eco, William Weaver, Seán Barrett",The Name of the Rose,4.11
425,"Beatrice Sparks, Anonymous",Go Ask Alice,3.77
426,"John Kennedy Toole, Walker Percy",A Confederacy of Dunces,3.89
427,Oscar Wilde,The Importance of Being Earnest,4.17
